Unnamed: 0,userName,score,at,content,content_lower,content_token,content_no_stopwords,content_stemmed,Topic
201,Andi Sunadi,5,2025-03-27 06:58:16,i love it,i love it,"['i', 'love', 'it']","['i', 'love', 'it']","['i', 'love', 'it']",51
202,DANANG W.S.,5,2025-03-25 13:25:16,okey,okey,['okey'],['okey'],['okey'],20
203,Yessy,1,2025-03-24 12:32:00,"cape dhe, di update malah ga bs buka. error mulu. masa iya tiap kali mau pakai aplikasi nya musti uninstall dl trs install ulang. uda brp minggu ini begini trs.","cape dhe, di update malah ga bs buka. error mulu. masa iya tiap kali mau pakai aplikasi nya musti uninstall dl trs install ulang. uda brp minggu ini begini trs.","['cape', 'dhe', ',', 'di', 'update', 'malah', 'ga', 'bs', 'buka', '.', 'error', 'mulu', '.', 'masa', 'iya', 'tiap', 'kali', 'mau', 'pakai', 'aplikasi', 'nya', 'musti', 'uninstall', 'dl', 'trs', 'install', 'ulang', '.', 'uda', 'brp', 'minggu', 'ini', 'begini', 'trs', '.']","['cape', 'dhe', ',', 'update', 'ga', 'bs', 'buka', '.', 'error', 'mulu', '.', 'iya', 'kali', 'pakai', 'aplikasi', 'nya', 'musti', 'uninstall', 'dl', 'trs', 'install', 'ulang', '.', 'uda', 'brp', 'minggu', 'trs', '.']","['cape', 'dhe', '', 'update', 'ga', 'bs', 'buka', '', 'error', 'mulu', '', 'iya', 'kali', 'pakai', 'aplikasi', 'nya', 'musti', 'uninstall', 'dl', 'trs', 'install', 'ulang', '', 'uda', 'brp', 'minggu', 'trs', '']",-1
204,Muhni Ardizal,2,2025-03-24 11:30:40,ga bs dibuka padahal baru download,ga bs dibuka padahal baru download,"['ga', 'bs', 'dibuka', 'padahal', 'baru', 'download']","['ga', 'bs', 'dibuka', 'download']","['ga', 'bs', 'buka', 'download']",21
205,edi efendi efendi,5,2025-03-24 04:54:24,🥳🥳🥳,🥳🥳🥳,['🥳🥳🥳'],['🥳🥳🥳'],[''],92
206,Maychel Ayal,1,2025-03-23 17:55:57,"tdk bs dipakai, error"" trs","tdk bs dipakai, error"" trs","['tdk', 'bs', 'dipakai', ',', 'error', ""''"", 'trs']","['tdk', 'bs', 'dipakai', ',', 'error', ""''"", 'trs']","['tdk', 'bs', 'pakai', '', 'error', '', 'trs']",40
207,Umahati Tri Pratiwi,1,2025-03-23 06:26:41,ga bisa digunain sampe sekarang,ga bisa digunain sampe sekarang,"['ga', 'bisa', 'digunain', 'sampe', 'sekarang']","['ga', 'digunain', 'sampe']","['ga', 'digunain', 'sampe']",89
208,ThaYo Carteran Mobil,1,2025-03-23 05:05:50,"pembaruan terakhir malah bikin lemot dan UI pun berubah membuat saya bingung mengaksesnya, karena saya sudah hafal letak menu² sebelumnya beserta cara ordernya. mohon jika ada pembaruan, jangan sering² merubah UI dan ukuran aplikasinya jangan terlalu besar sehingga rendering web cenderung lama karena kita tau upload dan download kartu provider tidak stabil dan kecil kbpsnya. TRIms fyi; gadget yang saya (kami) digunakan 1. Poco c45 2. Poco c65","pembaruan terakhir malah bikin lemot dan ui pun berubah membuat saya bingung mengaksesnya, karena saya sudah hafal letak menu² sebelumnya beserta cara ordernya. mohon jika ada pembaruan, jangan sering² merubah ui dan ukuran aplikasinya jangan terlalu besar sehingga rendering web cenderung lama karena kita tau upload dan download kartu provider tidak stabil dan kecil kbpsnya. trims fyi; gadget yang saya (kami) digunakan 1. poco c45 2. poco c65","['pembaruan', 'terakhir', 'malah', 'bikin', 'lemot', 'dan', 'ui', 'pun', 'berubah', 'membuat', 'saya', 'bingung', 'mengaksesnya', ',', 'karena', 'saya', 'sudah', 'hafal', 'letak', 'menu²', 'sebelumnya', 'beserta', 'cara', 'ordernya', '.', 'mohon', 'jika', 'ada', 'pembaruan', ',', 'jangan', 'sering²', 'merubah', 'ui', 'dan', 'ukuran', 'aplikasinya', 'jangan', 'terlalu', 'besar', 'sehingga', 'rendering', 'web', 'cenderung', 'lama', 'karena', 'kita', 'tau', 'upload', 'dan', 'download', 'kartu', 'provider', 'tidak', 'stabil', 'dan', 'kecil', 'kbpsnya', '.', 'trims', 'fyi', ';', 'gadget', 'yang', 'saya', '(', 'kami', ')', 'digunakan', '1.', 'poco', 'c45', '2.', 'poco', 'c65']","['pembaruan', 'bikin', 'lemot', 'ui', 'berubah', 'bingung', 'mengaksesnya', ',', 'hafal', 'letak', 'menu²', 'beserta', 'ordernya', '.', 'mohon', 'pembaruan', ',', 'sering²', 'merubah', 'ui', 'ukuran', 'aplikasinya', 'rendering', 'web', 'cenderung', 'tau', 'upload', 'download', 'kartu', 'provider', 'stabil', 'kbpsnya', '.', 'trims', 'fyi', ';', 'gadget', '(', ')', '1.', 'poco', 'c45', '2.', 'poco', 'c65']","['baru', 'bikin', 'lot', 'ui', 'ubah', 'bingung', 'akses', '', 'hafal', 'letak', 'menu', 'serta', 'order', '', 'mohon', 'baru', '', 'sering', 'rubah', 'ui', 'ukur', 'aplikasi', 'rendering', 'web', 'cenderung', 'tau', 'upload', 'download', 'kartu', 'provider', 'stabil', 'kbpsnya', '', 'trims', 'fyi', '', 'gadget', '', '', '1', 'poco', 'c45', '2', 'poco', 'c65']",-1
209,Nathanael,3,2025-03-23 01:22:12,aplikasi sering stuck loading,aplikasi sering stuck loading,"['aplikasi', 'sering', 'stuck', 'loading']","['aplikasi', 'stuck', 'loading']","['aplikasi', 'stuck', 'loading']",-1
210,Saannoy,1,2025-03-22 15:37:30,"aplikasi layanan order dan anter ke meja ga berguna. lama banget pesen eskrim sampe 31 menit akhirnya nyamperin sendiri ke counter pengambilan terus dengan entengnya petugas blg oh ini punya kakak? udh dari tadi kak. terus saya jawab kenapa ga dianter eh petugasnya lsg main d tinggal, sangat tidak sopan sayang saya tidak ingat namanya.","aplikasi layanan order dan anter ke meja ga berguna. lama banget pesen eskrim sampe 31 menit akhirnya nyamperin sendiri ke counter pengambilan terus dengan entengnya petugas blg oh ini punya kakak? udh dari tadi kak. terus saya jawab kenapa ga dianter eh petugasnya lsg main d tinggal, sangat tidak sopan sayang saya tidak ingat namanya.","['aplikasi', 'layanan', 'order', 'dan', 'anter', 'ke', 'meja', 'ga', 'berguna', '.', 'lama', 'banget', 'pesen', 'eskrim', 'sampe', '31', 'menit', 'akhirnya', 'nyamperin', 'sendiri', 'ke', 'counter', 'pengambilan', 'terus', 'dengan', 'entengnya', 'petugas', 'blg', 'oh', 'ini', 'punya', 'kakak', '?', 'udh', 'dari', 'tadi', 'kak', '.', 'terus', 'saya', 'jawab', 'kenapa', 'ga', 'dianter', 'eh', 'petugasnya', 'lsg', 'main', 'd', 'tinggal', ',', 'sangat', 'tidak', 'sopan', 'sayang', 'saya', 'tidak', 'ingat', 'namanya', '.']","['aplikasi', 'layanan', 'order', 'anter', 'meja', 'ga', 'berguna', '.', 'banget', 'pesen', 'eskrim', 'sampe', '31', 'menit', 'nyamperin', 'counter', 'pengambilan', 'entengnya', 'petugas', 'blg', 'oh', 'kakak', '?', 'udh', 'kak', '.', 'ga', 'dianter', 'eh', 'petugasnya', 'lsg', 'main', 'd', 'tinggal', ',', 'sopan', 'sayang', 'namanya', '.']","['aplikasi', 'layan', 'order', 'anter', 'meja', 'ga', 'guna', '', 'banget', 'sen', 'eskrim', 'sampe', '31', 'menit', 'nyamperin', 'counter', 'ambil', 'enteng', 'tugas', 'blg', 'oh', 'kakak', '', 'udh', 'kak', '', 'ga', 'anter', 'eh', 'tugas', 'lsg', 'main', 'd', 'tinggal', '', 'sopan', 'sayang', 'nama', '']",-1
211,mhmmd rvl,5,2025-03-22 10:44:38,"pelayanan nya ramah dan sangat puas , ayam nyajuga enak","pelayanan nya ramah dan sangat puas , ayam nyajuga enak","['pelayanan', 'nya', 'ramah', 'dan', 'sangat', 'puas', ',', 'ayam', 'nyajuga', 'enak']","['pelayanan', 'nya', 'ramah', 'puas', ',', 'ayam', 'nyajuga', 'enak']","['layan', 'nya', 'ramah', 'puas', '', 'ayam', 'nyajuga', 'enak']",19
212,Erik Gustiawan,1,2025-03-21 20:20:38,padahal udah versi terbaru ada perangkat yg tidal berfungsi gak jelas bngt. gak bisa masuk aplksi,padahal udah versi terbaru ada perangkat yg tidal berfungsi gak jelas bngt. gak bisa masuk aplksi,"['padahal', 'udah', 'versi', 'terbaru', 'ada', 'perangkat', 'yg', 'tidal', 'berfungsi', 'gak', 'jelas', 'bngt', '.', 'gak', 'bisa', 'masuk', 'aplksi']","['udah', 'versi', 'terbaru', 'perangkat', 'yg', 'tidal', 'berfungsi', 'gak', 'bngt', '.', 'gak', 'masuk', 'aplksi']","['udah', 'versi', 'baru', 'perangkat', 'yg', 'tidal', 'fungsi', 'gak', 'bngt', '', 'gak', 'masuk', 'aplksi']",-1
213,Alfatih Arjuna Rizkiana,1,2025-03-21 18:45:04,gak ada voucher,gak ada voucher,"['gak', 'ada', 'voucher']","['gak', 'voucher']","['gak', 'voucher']",-1
214,Mauly,1,2025-03-21 07:28:04,Ini skrg mcdelivery kemana ya? Kok gak bs lagi?,ini skrg mcdelivery kemana ya? kok gak bs lagi?,"['ini', 'skrg', 'mcdelivery', 'kemana', 'ya', '?', 'kok', 'gak', 'bs', 'lagi', '?']","['skrg', 'mcdelivery', 'kemana', 'ya', '?', 'gak', 'bs', '?']","['skrg', 'mcdelivery', 'mana', 'ya', '', 'gak', 'bs', '']",-1
215,Jakarta undecover,1,2025-03-21 01:37:18,"kenapa susah banget dah cuma mau login, repot","kenapa susah banget dah cuma mau login, repot","['kenapa', 'susah', 'banget', 'dah', 'cuma', 'mau', 'login', ',', 'repot']","['susah', 'banget', 'dah', 'login', ',', 'repot']","['susah', 'banget', 'dah', 'login', '', 'repot']",-1
216,Vikkai Seako,4,2025-03-20 15:07:49,mengalami sedikit BUG tapi ini tetap bagus,mengalami sedikit bug tapi ini tetap bagus,"['mengalami', 'sedikit', 'bug', 'tapi', 'ini', 'tetap', 'bagus']","['mengalami', 'bug', 'bagus']","['alami', 'bug', 'bagus']",33
217,Haeri Usman,5,2025-03-20 13:29:10,sangat memuaskan hebat,sangat memuaskan hebat,"['sangat', 'memuaskan', 'hebat']","['memuaskan', 'hebat']","['muas', 'hebat']",29
218,Susi Andayani,5,2025-03-20 06:54:12,bagus dalam pelayanannya dan sering ada discon,bagus dalam pelayanannya dan sering ada discon,"['bagus', 'dalam', 'pelayanannya', 'dan', 'sering', 'ada', 'discon']","['bagus', 'pelayanannya', 'discon']","['bagus', 'layan', 'discon']",19
219,Fanie Ku,1,2025-03-20 04:57:32,"Br x ini,kasih ulasan mcd *1. Karena mbaknya drive thru belagu banget.apakah posisi stiker drive thu dipermasalahkan?pake copot n pindahin tempat baru.kesannya sok banget pelayan drive thue mcd semarang majapahit.buat mbaknya kl gk suka kerja dimcd,resign aja.kecewaain mcd aja.kl emang udah gk mo kerja dirmh aja.yg kena mcdnya.padahal oknum(mbak nag pembayaran drive thu)","br x ini,kasih ulasan mcd *1. karena mbaknya drive thru belagu banget.apakah posisi stiker drive thu dipermasalahkan?pake copot n pindahin tempat baru.kesannya sok banget pelayan drive thue mcd semarang majapahit.buat mbaknya kl gk suka kerja dimcd,resign aja.kecewaain mcd aja.kl emang udah gk mo kerja dirmh aja.yg kena mcdnya.padahal oknum(mbak nag pembayaran drive thu)","['br', 'x', 'ini', ',', 'kasih', 'ulasan', 'mcd', '*', '1.', 'karena', 'mbaknya', 'drive', 'thru', 'belagu', 'banget.apakah', 'posisi', 'stiker', 'drive', 'thu', 'dipermasalahkan', '?', 'pake', 'copot', 'n', 'pindahin', 'tempat', 'baru.kesannya', 'sok', 'banget', 'pelayan', 'drive', 'thue', 'mcd', 'semarang', 'majapahit.buat', 'mbaknya', 'kl', 'gk', 'suka', 'kerja', 'dimcd', ',', 'resign', 'aja.kecewaain', 'mcd', 'aja.kl', 'emang', 'udah', 'gk', 'mo', 'kerja', 'dirmh', 'aja.yg', 'kena', 'mcdnya.padahal', 'oknum', '(', 'mbak', 'nag', 'pembayaran', 'drive', 'thu', ')']","['br', 'x', ',', 'kasih', 'ulasan', 'mcd', '*', '1.', 'mbaknya', 'drive', 'thru', 'belagu', 'banget.apakah', 'posisi', 'stiker', 'drive', 'thu', 'dipermasalahkan', '?', 'pake', 'copot', 'n', 'pindahin', 'baru.kesannya', 'sok', 'banget', 'pelayan', 'drive', 'thue', 'mcd', 'semarang', 'majapahit.buat', 'mbaknya', 'kl', 'gk', 'suka', 'kerja', 'dimcd', ',', 'resign', 'aja.kecewaain', 'mcd', 'aja.kl', 'emang', 'udah', 'gk', 'mo', 'kerja', 'dirmh', 'aja.yg', 'kena', 'mcdnya.padahal', 'oknum', '(', 'mbak', 'nag', 'pembayaran', 'drive', 'thu', ')']","['br', 'x', '', 'kasih', 'ulas', 'mcd', '', '1', 'mbak', 'drive', 'thru', 'belagu', 'banget apakah', 'posisi', 'stiker', 'drive', 'thu', 'masalah', '', 'pake', 'copot', 'n', 'pindahin', 'baru kesan', 'sok', 'banget', 'layan', 'drive', 'thue', 'mcd', 'semarang', 'majapahit buat', 'mbak', 'kl', 'gk', 'suka', 'kerja', 'dimcd', '', 'resign', 'aja kecewaain', 'mcd', 'aja kl', 'emang', 'udah', 'gk', 'mo', 'kerja', 'dirmh', 'aja yg', 'kena', 'mcdnya padahal', 'oknum', '', 'mbak', 'nag', 'bayar', 'drive', 'thu', '']",-1
220,Princesscillia Aurora Fusanto,1,2025-03-20 04:42:54,"aplikasi aneh semakin update makin jelek bikin badmood saya aja , masa harus diupdate dulu baru bisa masuk , terus kode digit ngak dikirim2 sampai sekarang 😞😡","aplikasi aneh semakin update makin jelek bikin badmood saya aja , masa harus diupdate dulu baru bisa masuk , terus kode digit ngak dikirim2 sampai sekarang 😞😡","['aplikasi', 'aneh', 'semakin', 'update', 'makin', 'jelek', 'bikin', 'badmood', 'saya', 'aja', ',', 'masa', 'harus', 'diupdate', 'dulu', 'baru', 'bisa', 'masuk', ',', 'terus', 'kode', 'digit', 'ngak', 'dikirim2', 'sampai', 'sekarang', '😞😡']","['aplikasi', 'aneh', 'update', 'jelek', 'bikin', 'badmood', 'aja', ',', 'diupdate', 'masuk', ',', 'kode', 'digit', 'ngak', 'dikirim2', '😞😡']","['aplikasi', 'aneh', 'update', 'jelek', 'bikin', 'badmood', 'aja', '', 'diupdate', 'masuk', '', 'kode', 'digit', 'ngak', 'dikirim2', '']",30
221,F Y T,1,2025-03-20 03:35:30,"Buruk, pelayan SOPnya tdk dijalankan","buruk, pelayan sopnya tdk dijalankan","['buruk', ',', 'pelayan', 'sopnya', 'tdk', 'dijalankan']","['buruk', ',', 'pelayan', 'sopnya', 'tdk', 'dijalankan']","['buruk', '', 'layan', 'sop', 'tdk', 'jalan']",13
222,Jejak Si Bocah Gokil,1,2025-03-19 18:47:48,ngga bisa login. kode ngga masuk. sering di coba sama aja tetep ngga dapet kode login,ngga bisa login. kode ngga masuk. sering di coba sama aja tetep ngga dapet kode login,"['ngga', 'bisa', 'login', '.', 'kode', 'ngga', 'masuk', '.', 'sering', 'di', 'coba', 'sama', 'aja', 'tetep', 'ngga', 'dapet', 'kode', 'login']","['ngga', 'login', '.', 'kode', 'ngga', 'masuk', '.', 'coba', 'aja', 'tetep', 'ngga', 'dapet', 'kode', 'login']","['ngga', 'login', '', 'kode', 'ngga', 'masuk', '', 'coba', 'aja', 'tetep', 'ngga', 'dapet', 'kode', 'login']",4
223,Nihal,1,2025-03-19 06:50:37,alamat nya ga bisa,alamat nya ga bisa,"['alamat', 'nya', 'ga', 'bisa']","['alamat', 'nya', 'ga']","['alamat', 'nya', 'ga']",-1
224,ahmad afandi,1,2025-03-18 11:50:48,aplikasi error,aplikasi error,"['aplikasi', 'error']","['aplikasi', 'error']","['aplikasi', 'error']",40
225,Meita Magdalena,1,2025-03-18 08:26:38,"gabisa di unduh, turunin kapasitas nya lah. biar bisa dipake di semua perangkat","gabisa di unduh, turunin kapasitas nya lah. biar bisa dipake di semua perangkat","['gabisa', 'di', 'unduh', ',', 'turunin', 'kapasitas', 'nya', 'lah', '.', 'biar', 'bisa', 'dipake', 'di', 'semua', 'perangkat']","['gabisa', 'unduh', ',', 'turunin', 'kapasitas', 'nya', '.', 'biar', 'dipake', 'perangkat']","['gabisa', 'unduh', '', 'turunin', 'kapasitas', 'nya', '', 'biar', 'dipake', 'perangkat']",-1
226,DANU NEISYA,5,2025-03-18 04:05:59,Tolong di perbanyak pilihan pembayaran cashless lainnya....masak cuman Gopay aja.,tolong di perbanyak pilihan pembayaran cashless lainnya....masak cuman gopay aja.,"['tolong', 'di', 'perbanyak', 'pilihan', 'pembayaran', 'cashless', 'lainnya', '....', 'masak', 'cuman', 'gopay', 'aja', '.']","['tolong', 'perbanyak', 'pilihan', 'pembayaran', 'cashless', '....', 'masak', 'cuman', 'gopay', 'aja', '.']","['tolong', 'banyak', 'pilih', 'bayar', 'cashless', '', 'masak', 'cuman', 'gopay', 'aja', '']",47
227,Ahmad Efendi,1,2025-03-18 02:25:16,Tidak dapat mengirim kode,tidak dapat mengirim kode,"['tidak', 'dapat', 'mengirim', 'kode']","['mengirim', 'kode']","['kirim', 'kode']",4
228,Putri Karmela,3,2025-03-17 17:47:52,harusnya kita bisa lihat driver udh nyampe mana jd jelas,harusnya kita bisa lihat driver udh nyampe mana jd jelas,"['harusnya', 'kita', 'bisa', 'lihat', 'driver', 'udh', 'nyampe', 'mana', 'jd', 'jelas']","['lihat', 'driver', 'udh', 'nyampe', 'jd']","['lihat', 'driver', 'udh', 'nyampe', 'jd']",15
229,arjuna wijaya,1,2025-03-16 14:53:34,"kalo bikin aplikasi tu yang bener, suport ke semua hp dong.","kalo bikin aplikasi tu yang bener, suport ke semua hp dong.","['kalo', 'bikin', 'aplikasi', 'tu', 'yang', 'bener', ',', 'suport', 'ke', 'semua', 'hp', 'dong', '.']","['kalo', 'bikin', 'aplikasi', 'tu', 'bener', ',', 'suport', 'hp', '.']","['kalo', 'bikin', 'aplikasi', 'tu', 'bener', '', 'suport', 'hp', '']",17
230,Angga Adam,1,2025-03-16 14:20:58,"Download, buka aplikasi, login, jelek, kasih rating. Uninstall.. Lanjut","download, buka aplikasi, login, jelek, kasih rating. uninstall.. lanjut","['download', ',', 'buka', 'aplikasi', ',', 'login', ',', 'jelek', ',', 'kasih', 'rating', '.', 'uninstall', '..', 'lanjut']","['download', ',', 'buka', 'aplikasi', ',', 'login', ',', 'jelek', ',', 'kasih', 'rating', '.', 'uninstall', '..']","['download', '', 'buka', 'aplikasi', '', 'login', '', 'jelek', '', 'kasih', 'rating', '', 'uninstall', '']",-1
231,Rahmad Subekti,1,2025-03-15 16:39:40,Lemot parah kalau GK siap punya aplikasi jgn maksa bikin perusahaan doang gede GK BS bikin aplikasi yg bagus,lemot parah kalau gk siap punya aplikasi jgn maksa bikin perusahaan doang gede gk bs bikin aplikasi yg bagus,"['lemot', 'parah', 'kalau', 'gk', 'siap', 'punya', 'aplikasi', 'jgn', 'maksa', 'bikin', 'perusahaan', 'doang', 'gede', 'gk', 'bs', 'bikin', 'aplikasi', 'yg', 'bagus']","['lemot', 'parah', 'gk', 'aplikasi', 'jgn', 'maksa', 'bikin', 'perusahaan', 'doang', 'gede', 'gk', 'bs', 'bikin', 'aplikasi', 'yg', 'bagus']","['lot', 'parah', 'gk', 'aplikasi', 'jgn', 'maksa', 'bikin', 'usaha', 'doang', 'gede', 'gk', 'bs', 'bikin', 'aplikasi', 'yg', 'bagus']",27
232,Agi Hanafiyah,1,2025-03-15 10:59:32,Kalo pesan fikir dulu karena gabisa di cancel dan estimasi untuk dilevery nya kurang jelas bahkan bisa pending sampai 1 jam dan untuk cancel harus hubungi 14045 dengan syarat pulsa mencukup yaa. Jadi kalo sudah pesan mau dari pihak MCD nya telat juga gabisa kita cancel kalo tidak menghubungi 14045 di aplikasi tidak ada fitur batalkan pesanan.,kalo pesan fikir dulu karena gabisa di cancel dan estimasi untuk dilevery nya kurang jelas bahkan bisa pending sampai 1 jam dan untuk cancel harus hubungi 14045 dengan syarat pulsa mencukup yaa. jadi kalo sudah pesan mau dari pihak mcd nya telat juga gabisa kita cancel kalo tidak menghubungi 14045 di aplikasi tidak ada fitur batalkan pesanan.,"['kalo', 'pesan', 'fikir', 'dulu', 'karena', 'gabisa', 'di', 'cancel', 'dan', 'estimasi', 'untuk', 'dilevery', 'nya', 'kurang', 'jelas', 'bahkan', 'bisa', 'pending', 'sampai', '1', 'jam', 'dan', 'untuk', 'cancel', 'harus', 'hubungi', '14045', 'dengan', 'syarat', 'pulsa', 'mencukup', 'yaa', '.', 'jadi', 'kalo', 'sudah', 'pesan', 'mau', 'dari', 'pihak', 'mcd', 'nya', 'telat', 'juga', 'gabisa', 'kita', 'cancel', 'kalo', 'tidak', 'menghubungi', '14045', 'di', 'aplikasi', 'tidak', 'ada', 'fitur', 'batalkan', 'pesanan', '.']","['kalo', 'pesan', 'fikir', 'gabisa', 'cancel', 'estimasi', 'dilevery', 'nya', 'pending', '1', 'jam', 'cancel', 'hubungi', '14045', 'syarat', 'pulsa', 'mencukup', 'yaa', '.', 'kalo', 'pesan', 'mcd', 'nya', 'telat', 'gabisa', 'cancel', 'kalo', 'menghubungi', '14045', 'aplikasi', 'fitur', 'batalkan', 'pesanan', '.']","['kalo', 'pesan', 'fikir', 'gabisa', 'cancel', 'estimasi', 'dilevery', 'nya', 'pending', '1', 'jam', 'cancel', 'hubung', '14045', 'syarat', 'pulsa', 'cukup', 'yaa', '', 'kalo', 'pesan', 'mcd', 'nya', 'telat', 'gabisa', 'cancel', 'kalo', 'hubung', '14045', 'aplikasi', 'fitur', 'batal', 'pesan', '']",5
233,Chaa Olivia,2,2025-03-15 09:27:07,"knp tidak bisa didownload, bacaannya aplikasi tidak relevan","knp tidak bisa didownload, bacaannya aplikasi tidak relevan","['knp', 'tidak', 'bisa', 'didownload', ',', 'bacaannya', 'aplikasi', 'tidak', 'relevan']","['knp', 'didownload', ',', 'bacaannya', 'aplikasi', 'relevan']","['knp', 'didownload', '', 'baca', 'aplikasi', 'relevan']",-1
234,RIZKY CHANNEL,1,2025-03-15 02:56:08,Aplikasi ga bisa digunakan min akh buruk ...,aplikasi ga bisa digunakan min akh buruk ...,"['aplikasi', 'ga', 'bisa', 'digunakan', 'min', 'akh', 'buruk', '...']","['aplikasi', 'ga', 'min', 'akh', 'buruk', '...']","['aplikasi', 'ga', 'min', 'akh', 'buruk', '']",-1
235,melia Budi,2,2025-03-14 14:29:49,"Ga bs log in,gangguan trs","ga bs log in,gangguan trs","['ga', 'bs', 'log', 'in', ',', 'gangguan', 'trs']","['ga', 'bs', 'log', 'in', ',', 'gangguan', 'trs']","['ga', 'bs', 'log', 'in', '', 'ganggu', 'trs']",25
236,Muhammad Isa Senoaji,1,2025-03-14 10:47:16,Boikot,boikot,['boikot'],['boikot'],['boikot'],119
237,LOL ST,1,2025-03-13 19:53:57,Aplikasinya LEMOT POOOLLLL....!!!,aplikasinya lemot pooollll....!!!,"['aplikasinya', 'lemot', 'pooollll', '....', '!', '!', '!']","['aplikasinya', 'lemot', 'pooollll', '....', '!', '!', '!']","['aplikasi', 'lot', 'pooollll', '', '', '', '']",10
238,Agam Badruzaman,1,2025-03-13 11:50:52,"Hallo developer aplikasi. Tolong dong untuk tidak deskriminasi terhadap perangkat/ponsel yang kami gunakan. Apakah kami harus beli ponsel terbaru juga, karena aplikasi anda tidak support/di perangkat kami, dikarenakan perangkat kami sudah usang? Kasihan kami yang selalu setia dengan produk anda. Mungkin ada banyak pelanggan yang punya poin untuk ditukarkan. Terima kasih.","hallo developer aplikasi. tolong dong untuk tidak deskriminasi terhadap perangkat/ponsel yang kami gunakan. apakah kami harus beli ponsel terbaru juga, karena aplikasi anda tidak support/di perangkat kami, dikarenakan perangkat kami sudah usang? kasihan kami yang selalu setia dengan produk anda. mungkin ada banyak pelanggan yang punya poin untuk ditukarkan. terima kasih.","['hallo', 'developer', 'aplikasi', '.', 'tolong', 'dong', 'untuk', 'tidak', 'deskriminasi', 'terhadap', 'perangkat/ponsel', 'yang', 'kami', 'gunakan', '.', 'apakah', 'kami', 'harus', 'beli', 'ponsel', 'terbaru', 'juga', ',', 'karena', 'aplikasi', 'anda', 'tidak', 'support/di', 'perangkat', 'kami', ',', 'dikarenakan', 'perangkat', 'kami', 'sudah', 'usang', '?', 'kasihan', 'kami', 'yang', 'selalu', 'setia', 'dengan', 'produk', 'anda', '.', 'mungkin', 'ada', 'banyak', 'pelanggan', 'yang', 'punya', 'poin', 'untuk', 'ditukarkan', '.', 'terima', 'kasih', '.']","['hallo', 'developer', 'aplikasi', '.', 'tolong', 'deskriminasi', 'perangkat/ponsel', '.', 'beli', 'ponsel', 'terbaru', ',', 'aplikasi', 'support/di', 'perangkat', ',', 'perangkat', 'usang', '?', 'kasihan', 'setia', 'produk', '.', 'pelanggan', 'poin', 'ditukarkan', '.', 'terima', 'kasih', '.']","['hallo', 'developer', 'aplikasi', '', 'tolong', 'deskriminasi', 'perangkat ponsel', '', 'beli', 'ponsel', 'baru', '', 'aplikasi', 'support di', 'perangkat', '', 'perangkat', 'usang', '', 'kasihan', 'setia', 'produk', '', 'langgan', 'poin', 'tukar', '', 'terima', 'kasih', '']",98
239,TIT4N 22,1,2025-03-11 06:31:45,Apk gak guna...banyak bug gak jelas,apk gak guna...banyak bug gak jelas,"['apk', 'gak', 'guna', '...', 'banyak', 'bug', 'gak', 'jelas']","['apk', 'gak', '...', 'bug', 'gak']","['apk', 'gak', '', 'bug', 'gak']",-1
240,Tiara Salsabila,1,2025-03-10 09:08:07,masa pesan lewat hp sama datang langsung promonya beda 🤣👎🏽,masa pesan lewat hp sama datang langsung promonya beda 🤣👎🏽,"['masa', 'pesan', 'lewat', 'hp', 'sama', 'datang', 'langsung', 'promonya', 'beda', '🤣👎🏽']","['pesan', 'hp', 'langsung', 'promonya', 'beda', '🤣👎🏽']","['pesan', 'hp', 'langsung', 'promonya', 'beda', '']",10
241,Wariyo Nugroho,1,2025-03-10 05:39:15,Tidak bisa di buka,tidak bisa di buka,"['tidak', 'bisa', 'di', 'buka']",['buka'],['buka'],13
242,Zet,1,2025-03-10 05:12:02,Boykot,boykot,['boykot'],['boykot'],['boykot'],68
243,fariss tamvan,5,2025-03-09 22:38:58,I love PT McDonald💝💝💝💝💝💝,i love pt mcdonald💝💝💝💝💝💝,"['i', 'love', 'pt', 'mcdonald💝💝💝💝💝💝']","['i', 'love', 'pt', 'mcdonald💝💝💝💝💝💝']","['i', 'love', 'pt', 'mcdonald']",46
244,Rizal Nur Faizi,1,2025-03-09 17:08:59,"Tolong berikan dukungan untuk android 9, saya user redmi note 5 pro ga bisa buka aplikasi ini masa harus beli hp baru sih","tolong berikan dukungan untuk android 9, saya user redmi note 5 pro ga bisa buka aplikasi ini masa harus beli hp baru sih","['tolong', 'berikan', 'dukungan', 'untuk', 'android', '9', ',', 'saya', 'user', 'redmi', 'note', '5', 'pro', 'ga', 'bisa', 'buka', 'aplikasi', 'ini', 'masa', 'harus', 'beli', 'hp', 'baru', 'sih']","['tolong', 'dukungan', 'android', '9', ',', 'user', 'redmi', 'note', '5', 'pro', 'ga', 'buka', 'aplikasi', 'beli', 'hp', 'sih']","['tolong', 'dukung', 'android', '9', '', 'user', 'redmi', 'note', '5', 'pro', 'ga', 'buka', 'aplikasi', 'beli', 'hp', 'sih']",17
245,Edwar Kusumah,1,2025-03-09 09:59:58,Tiba² not compatible x6 pro,tiba² not compatible x6 pro,"['tiba²', 'not', 'compatible', 'x6', 'pro']","['tiba²', 'not', 'compatible', 'x6', 'pro']","['tiba', 'not', 'compatible', 'x6', 'pro']",-1
